NAME,ADDRESS,PHONE,CITY,COUNTY,STATE,LAT,LON,TYPE,WFO
American Airlines Arena,601 Biscayne Boulevard, ,Miami,Dade,FL,25.78117,-80.18758,NBA,MFL
AT&T Center,1 AT&T Center Parkway, ,San Antonio,Bexar,TX,29.42703,-98.43766,NBA,EWX
Amway Arena,600 West Amelia Street, ,Orlando,Orange,FL,28.54883,-81.38636,NBA,MLB
Toyota Center (Houston),1510 Polk Street, ,Houston,Harris,TX,29.75078,-95.36218,NBA,HGX
New Orleans Arena,1601 Girod Street, ,New Orleans,Orleans,LA,29.94889,-90.08203,NBA,LIX
American Airlines Center,2500 Victory Avenue, ,Dallas,Dallas,TX,32.79062,-96.81043,NBA,FWD
Philips Arena,1 Philips Drive NW, ,Atlanta,Fulton,GA,33.7573,-84.39631,NBA,FFC
US Airways Center,201 East Jefferson, ,Phoenix,Maricopa,AZ,33.446,-112.07125,NBA,PSR
Fed Ex Forum,191 Beale Street, ,Memphis,Shelby,TN,35.1381,-90.0513,NBA,MEG
Ford Center,100 West Reno Avenue, ,Oklahoma City,Oklahoma,OK,35.46347,-97.51483,NBA,OUN
Time Warner Cable Arena,333 East Trade Street, ,Charlotte,Mecklenburg,NC,35.22373,-80.83999,NBA,GSP
Staples Center,1111 South Figueroa Street, ,Los Angeles,Los Angeles,CA,34.04321,-118.26716,NBA,LOX
Pepsi Center,1000 Chopper Circle, ,Denver,Denver,CO,39.74916,-105.00677,NBA,BOU
Conseco Fieldhouse,125 South Pennsylvania Street, ,Indianapolis,Marion,IN,39.76401,-86.15557,NBA,IND
Verizon Center,601 F Street NW, ,Washington,District of Columbi,DC,38.89838,-77.02098,NBA,LWX
Oracle Arena,7000 Coliseum Way, ,Oakland,Alameda,CA,37.75131,-122.20217,NBA,MTR
ARCO Arena,1 Sports Parkway, ,Sacramento,Sacramento,CA,38.64932,-121.51869,NBA,STO
Wachovia Center,3601 South Broad Street, ,Philadelphia,Philadelphia,PA,39.90097,-75.17218,NBA,PHI
EnergySolutions Arena,301 West South Temple, ,Salt Lake City,Salt Lake,UT,40.76629,-111.90093,NBA,SLC
United Center,1902 West Madison Street, ,Chicago,Cook,IL,41.88059,-87.67418,NBA,LOT
Quicken Loans Arena,1 Center Court, ,Cleveland,Cuyahoga,OH,41.49648,-81.6887,NBA,CLE
Madison Square Garden,4 Pennsylvania Plaza, ,New York,New York,NY,40.7506,-73.99378,NBA,OKX
IZOD Center,50 Route 120, ,East Rutherfor,Bergen,NJ,40.81163,-74.06767,NBA,OKX
Bradley Center,1001 North 4th Street, ,Milwaukee,Milwaukee,WI,43.04346,-87.91736,NBA,MKX
Palace of Auburn Hills,2 Championship Drive, ,Auburn Hills,Oakland,MI,42.69721,-83.24467,NBA,DTX
TD Garden Center,100 Legends Way, ,Boston,Suffolk,MA,42.36653,-71.06206,NBA,BOX
Target Center,600 First Avenue North, ,Minneapolis,Hennepin,MN,44.97944,-93.27609,NBA,MPX
Rose Garden,1 Center Court, ,Portland,Multnomah,OR,45.53165,-122.66692,NBA,PQR
